24-07-03 18:10:19, 6411 | INFO  | CRLD-I0163 | Pitsdshdb2 | Pitsdshdb1,2_Cluster | [Data_Mirror] 동기화 상태가 변경 되었습니다 (C: Connected => Connecting, D: UpToDate => Diskless, R: Established => Off)
24-07-03 18:40:48, 5197 | DEBUG | SYSD-D0000 | Pitsdshdb1 | sys | Ipc GroupCommand
24-07-03 18:40:48, 5229 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Session:0] Recv Command :: [GroupManualFailover]
24-07-03 18:40:48, 5240 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Exec] GroupManualFailoverStandby
24-07-03 18:40:48, 5270 | INFO  | CGCT-I0965 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Data_Mirror] 리소스가 잠겨 있습니다
24-07-03 18:42:04, 6009 | DEBUG | SYSD-D0000 | Pitsdshdb1 | sys | Ipc GroupCommand
24-07-03 18:42:04, 6022 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Session:0] Recv Command :: [GroupManualFailover]
24-07-03 18:42:04, 6032 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Exec] GroupManualFailoverStandby
24-07-03 18:42:04, 6052 | INFO  | CGCT-I0965 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Data_Mirror] 리소스가 잠겨 있습니다
24-07-03 18:49:29, 8760 | DEBUG | SYSD-D0000 | Pitsdshdb1 | sys | Ipc GroupCommand
24-07-03 18:49:29, 8774 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Session:0] Recv Command :: [GroupMaintenanceOn]
24-07-03 18:49:29, 8812 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Session:ens224] Send Command :: [GroupMaintenanceOn]
24-07-03 18:49:29, 8855 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Changed] Group Status [Run => Locked]
24-07-03 18:49:29, 8882 | INFO  | CGCT-I1197 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | 유지보수 모드를 설정 하였습니다
Application is shutting down...
24-07-03 18:51:48, 2818 |  INFO | MODL-D0000 | sys | sys | 
24-07-03 18:51:48, 3108 |  INFO | MODL-D0000 | sys | sys | 
24-07-03 18:51:48, 3114 |  INFO | MODL-D0000 | sys | sys | ============================================
24-07-03 18:51:48, 3114 |  INFO | MODL-D0000 | sys | sys | ClusterPlex v5.0.5.4
24-07-03 18:51:48, 3389 |  INFO | MODL-D0000 | sys | sys | 
24-07-03 18:51:48, 3390 |  INFO | MODL-D0000 | sys | sys | centos
24-07-03 18:51:48, 3390 |  INFO | MODL-D0000 | sys | sys | 3.10.0-1160.el7.x86_64
24-07-03 18:51:48, 3390 |  INFO | MODL-D0000 | sys | sys | 
24-07-03 18:51:48, 3390 |  INFO | MODL-D0000 | sys | sys | 2024-07-03 18:51:33 (uptime)
24-07-03 18:51:48, 3390 |  INFO | MODL-D0000 | sys | sys | ============================================
24-07-03 18:51:48, 6072 | DEBUG | SYSD-D0000 | Pitsdshdb1 | sys | InitLog
24-07-03 18:51:48, 6914 | DEBUG | SYSD-D0000 | Pitsdshdb1 | sys | LogQueueTask Start
24-07-03 18:51:48, 6950 | DEBUG | SYSD-D0000 | Pitsdshdb1 | sys | InitGroup
24-07-03 18:51:48, 7625 | INFO  | CGCT-I0061 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | 그룹 초기화를 실행 하였습니다
24-07-03 18:51:48, 7743 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitState
24-07-03 18:51:48, 7975 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitSession
24-07-03 18:51:48, 8213 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitResourceRes
24-07-03 18:51:48, 8271 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitResourceSet
24-07-03 18:51:49, 9606 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Data_Mirror] [data1] (role:Secondary, disk:Outdated, conn:Connected, sync:Established, oos:24604672)
Now listening on: https://0.0.0.0:28323
Application started. Press Ctrl+C to shut down.
Hosting environment: Production
Content root path: /clusterplex/
24-07-03 18:51:51, 0079 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [logs_Mirror] [data2] (role:Secondary, disk:UpToDate, conn:Connected, sync:SyncSource, oos:24255488)
24-07-03 18:51:51, 0090 | WARN  | CRLD-W0110 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [logs_Mirror] 동기화가 OFF 상태이며, 데이터가 동기화되지 않았습니다 (OutofSync: 24255488 KiB)
24-07-03 18:51:51, 0185 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitPreparing
24-07-03 18:51:51, 0202 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitPolicy
24-07-03 18:51:51, 0231 | INFO  | CGCT-I0067 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | 그룹 초기화를 완료 하였습니다
24-07-03 18:51:51, 0258 | INFO  | CGCT-I0069 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | 그룹을 실행 중 입니다
24-07-03 18:51:51, 0269 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | InitBgw
24-07-03 18:51:51, 0627 | WARN  | CRLD-W0110 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [logs_Mirror] 동기화가 OFF 상태이며, 데이터가 동기화되지 않았습니다 (OutofSync: 24225792 KiB)
24-07-03 18:51:51, 0662 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Changed] Group Status [Initializing => Locked]
24-07-03 18:51:51, 0712 | INFO  | CGCT-I1197 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | 유지보수 모드를 설정 하였습니다
24-07-03 18:51:51, 0749 | INFO  | CGCT-I0288 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | 원격 노드에 연결 중 입니다 (Pitsdshdb1 ==> Pitsdshdb2)
24-07-03 18:51:56, 4462 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Session:] Remote Ready Connected (ipv4:192.168.40.175:55412)
24-07-03 18:51:56, 4505 | DEBUG | SYSD-D0000 | Pitsdshdb1 | Pitsdshdb1,2_Cluster | [Session:] Remote Waiting Connecting..
